2022-02-08 22:16:32,383 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 22:58:17,913 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-08 22:58:45,526 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-08 22:58:48,044 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 22:59:41,266 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-08 23:00:23,546 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-08 23:00:26,819 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 23:03:56,509 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-08 23:09:44,073 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:c1:8d:32:44
2022-02-08 23:09:46,595 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:c1:8d:32:44
2022-02-08 23:56:32,947 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 85F6AB81-3039-0348-6BFC-45DA0B5D18A8
2022-02-09 01:07:17,911 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-02-09 01:07:17,913 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-02-09 01:07:17,914 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
